Numero,Nimi,Valmistaja,Pullokoko,Hinta,Litrahinta,Uutuus,Hinnastojärjestyskoodi,Tyyppi,Alatyyppi,Erityisryhmä,Oluttyyppi,Valmistusmaa,Alue,Vuosikerta,Etikettimerkintöjä,Huomautus,Rypäleet,Luonnehdinta,Pakkaustyyppi,Suljentatyyppi,Alkoholi-%,"Hapot g/l","Sokeri g/l",Kantavierrep-%,"Väri EBC","Katkerot EBU","Energia kcal/100 ml",Valikoima,EAN
538038,"Undurraga U Sauvignon Blanc 2023 viinipussi","Viña Undurraga","1.5 l",19.49,12.99,,130,valkoviinit,"Pirteä & Hedelmäinen","kestävän kehityksen sertifiointi",,Chile,"Valle Central",2023,"Valle Central",,"Sauvignon Blanc, ","Vaaleankeltainen, kuiva, hapokas, kevyen persikkainen, kypsän greippinen, passionhedelmäinen, valkoherukkainen, yrttinen",viinipussi,hana,13.0,6.5,3,,,,70.0,vakiovalikoima,7804315014430
440588,"Viña Maipo Cabernet Sauvignon 2023 hanapakkaus","Viña Maipo","3 l",30.99,10.33,,110,punaviinit,"Mehevä & Hilloinen","kestävän kehityksen sertifiointi",,Chile,"Valle Central",2023,"Valle Central",,"Cabernet Sauvignon, ","Runsaanpunainen, keskitäyteläinen, keskitanniininen, kirsikkainen, karpaloinen, herukkainen, mausteinen, hennon mokkainen",hanapakkaus,hana,12.0,4.9,2,,,,70.0,vakiovalikoima,7804320034676
588668,"Viña Maipo Chardonnay 2023 hanapakkaus","Viña Maipo","3 l",30.99,10.33,,130,valkoviinit,"Pirteä & Hedelmäinen","kestävän kehityksen sertifiointi",,Chile,"Valle Central",2023,"Central Valley",,"Chardonnay, ","Vaaleankeltainen, kuiva, keskihapokas, keltaluumuinen, sitruksinen, viherpäärynäinen, hunajameloninen, kevyen mausteinen",hanapakkaus,hana,12.0,6.4,4,,,,70.0,vakiovalikoima,7804320009223
949108,"Viña Maipo Rosé 2023 hanapakkaus","Viña Maipo","3 l",29.99,10.0,,H10,hanapakkaukset,,"kestävän kehityksen sertifiointi",,Chile,"Valle Central",2023,"Central Valley",,"Syrah, Cabernet Sauvignon, Merlot, ","Vaaleanpunainen, kuiva, keskihapokas, punaherukkainen, villivadelmainen, hennon laventelinen, kevyen yrttinen",hanapakkaus,hana,12.0,5.8,2,,,,70.0,vakiovalikoima,7804320689500
923656,"Viña Maipo Sauvignon Blanc 2023 hanapakkaus","Viña Maipo","3 l",29.99,10.0,,130,valkoviinit,"Vivahteikas & Ryhdikäs","kestävän kehityksen sertifiointi",,Chile,"Valle Central",2023,,,"Sauvignon Blanc, ","Kirkkaankeltainen, kuiva, hapokas, omenainen, karviaismainen, yrttinen",hanapakkaus,hana,12.0,6.9,5,,,,70.0,tilausvalikoima,7804320056388
558368,"Winemalia White Bear Blend Sauvignon Blanc Chardonnay 2023 hanapakkaus","Vina San Pedro","3 l",31.69,10.56,,130,valkoviinit,"Pirteä & Hedelmäinen","kestävän kehityksen sertifiointi",,Chile,"Valle Central",2023,"Central Valley",,"Chardonnay, Sauvignon Blanc, ","Keltainen, puolikuiva, hapokas, aprikoosinen, kevyen ananaksinen, viheromenainen, hennon mangoinen, kevyen mausteinen",hanapakkaus,hana,12.5,6.7,9,,,,70.0,vakiovalikoima,5704634169298
501468,"Adobe Organic Chardonnay 2023 viinipussi",Emiliana,"1.5 l",18.99,12.66,,130,valkoviinit,"Pirteä & Hedelmäinen",,,Chile,"Valle del Bío Bío",2023,,"Vegaaneille soveltuva tuote","Chardonnay, Sauvignon Blanc, ","Vaaleankeltainen, kuiva, hapokas, kypsän sitruksinen, viherpäärynäinen, valkopersikkainen, kevyen yrttinen",viinipussi,hana,13.5,5.6,1,,,,80.0,vakiovalikoima,7804320752556
947268,"Mayu Reserva Syrah Appassimento hanapakkaus","Vina Mayu LTD","3 l",37.49,12.5,,110,punaviinit,"Mehevä & Hilloinen","kestävän kehityksen sertifiointi",,Chile,"Valle del Elqui",,"Valle de Elqui",,"Syrah, ","Punaruskea, täyteläinen, keskitanniininen, kirsikkahilloinen, mesimarjainen, maitokaakaoinen, tamminen",hanapakkaus,hana,14.5,4.5,7,,,,80.0,vakiovalikoima,7804623800091
425658,"Adobe Rosé Organic 2023 viinipussi",Emiliana,"1.5 l",18.99,12.66,,H10,hanapakkaukset,,,,Chile,,2023,,"Vegaaneille soveltuva tuote","Carmenère, Garnacha, Merlot, Mourvèdre, Syrah, ","Lohenpunainen, kuiva, keskihapokas, metsämansikkainen, vadelmainen, kevyen punaherukkainen, hennon mausteinen",viinipussi,hana,12.5,4.5,6,,,,70.0,vakiovalikoima,7804320749983
438508,"Carolina Reserva Pinot Noir 2022 hanapakkaus","Santa Carolina","3 l",38.98,12.99,,110,punaviinit,"Marjaisa & Raikas","kestävän kehityksen sertifiointi",,Chile,,2022,,,"Pinot Noir, ","Punainen, keskitäyteläinen, keskitanniininen, karhunvatukkainen, vadelmainen, kirsikkainen, kevyen mausteinen, hennon pippurinen",hanapakkaus,hana,13.5,5.1,0,,,,80.0,vakiovalikoima,7804350010640
